behavior_session_id,equipment_name,genotype,mouse_id,sex,age_in_days,session_number,prior_exposures_to_session_type,prior_exposures_to_image_set,prior_exposures_to_omissions,ecephys_session_id,date_of_acquisition,session_type,image_set,file_id
1040882886,NP.1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,253,18,0,6,0,1040871931,2020-08-04 16:30:32.835000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1022
1042886405,NP.0,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,262,24,6,12,0,1042863451,2020-08-13 16:45:10.869000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1023
1042328825,NP.0,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,260,22,4,10,0,1042309765,2020-08-11 13:38:10.476000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1024
1041062566,NP.1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,254,19,1,7,0,1041050914,2020-08-05 09:27:22.482000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1025
1042578564,NP.0,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,261,23,5,11,0,1042566236,2020-08-12 13:13:12.237000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1026
1043159973,NP.0,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,263,25,7,13,0,1043148091,2020-08-14 15:09:56.657000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1027
1012862460,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,102,6,4,,0,,2020-03-06 12:36:40.378000+00:00,TRAINING_1_gratings,,1028
1014008383,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,109,11,3,,0,,2020-03-13 13:51:47.783000+00:00,TRAINING_2_gratings_flashed,,1029
1013316467,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,105,7,5,,0,,2020-03-09 12:52:35.332000+00:00,TRAINING_1_gratings,,1030
1013822615,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,108,10,2,,0,,2020-03-12 13:12:43.481000+00:00,TRAINING_2_gratings_flashed,,1031
1015591626,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,119,17,3,5,0,,2020-03-23 10:20:16.160000+00:00,TRAINING_5_images_G_epilogue,G,1032
1011600362,BEH.G-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,98,2,0,,0,,2020-03-02 10:21:59.096000+00:00,TRAINING_1_gratings,,1033
1041272851,NP.1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,255,20,2,8,0,,2020-08-06 11:08:49.350000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1034
1041487615,NP.0,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,256,21,3,9,0,,2020-08-07 11:46:28.205000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1035
1013477094,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,106,8,0,,0,,2020-03-10 13:02:32.863000+00:00,TRAINING_2_gratings_flashed,,1036
1013651495,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,107,9,1,,0,,2020-03-11 14:08:01.287000+00:00,TRAINING_2_gratings_flashed,,1037
1014456264,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,112,12,0,0,0,,2020-03-16 15:16:25.163000+00:00,TRAINING_3_images_G_10uL_reward,G,1038
1014654623,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,113,13,0,1,0,,2020-03-17 15:18:06.777000+00:00,TRAINING_4_images_G_training,G,1039
1014864789,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,114,14,0,2,0,,2020-03-18 14:51:05.621000+00:00,TRAINING_5_images_G_epilogue,G,1040
1015019342,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,115,15,1,3,0,,2020-03-19 14:33:53.405000+00:00,TRAINING_5_images_G_epilogue,G,1041
1015173833,BEH.B-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,116,16,2,4,0,,2020-03-20 14:47:44.485000+00:00,TRAINING_5_images_G_epilogue,G,1042
1010991549,BEH.G-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,95,1,0,,0,,2020-02-28 11:11:17.576000+00:00,TRAINING_0_gratings_autorewards_15min,,1043
1011894888,BEH.G-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,99,3,1,,0,,2020-03-03 10:08:53.396000+00:00,TRAINING_1_gratings,,1044
1012271345,BEH.G-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,100,4,2,,0,,2020-03-04 10:13:31.434000+00:00,TRAINING_1_gratings,,1045
1012608280,BEH.G-Box1,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,506940,M,101,5,3,,0,,2020-03-05 10:09:47.099000+00:00,TRAINING_1_gratings,,1046
1046544616,NP.1,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,257,64,3,58,0,1046521004,2020-08-27 09:21:09.840000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1047
1045537416,NP.1,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,254,61,0,55,0,1045516818,2020-08-24 12:34:50.849000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1048
1046899054,NP.1,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,258,65,0,59,0,1046876524,2020-08-28 11:53:46.455000+00:00,HABITUATION_5_images_G_handoff_ready_3uL_reward,G,1049
1047539988,NP.1,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,261,66,1,60,0,1047530324,2020-08-31 14:14:57.517000+00:00,HABITUATION_5_images_G_handoff_ready_3uL_reward,G,1050
1045850999,NP.1,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,255,62,1,56,0,1045819470,2020-08-25 10:35:25.409000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1051
1046138464,NP.1,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,256,63,2,57,0,1046105300,2020-08-26 10:14:57.963000+00:00,HABITUATION_5_images_G_handoff_ready_5uL_reward,G,1052
1047763374,NP.1,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,262,67,2,61,0,1047741314,2020-09-01 13:30:20.137000+00:00,HABITUATION_5_images_G_handoff_ready_3uL_reward,G,1053
1033615177,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,200,31,6,25,0,,2020-07-01 12:50:28.156000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1054
1041289307,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,236,51,26,45,0,,2020-08-06 12:52:44.196000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1055
1037750248,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,220,43,18,37,0,,2020-07-21 12:32:23.531000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1056
1031705468,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,192,25,0,19,0,,2020-06-23 12:49:11.837000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1057
1025591523,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,160,6,0,0,0,,2020-05-22 12:09:24.192000+00:00,TRAINING_3_images_G_10uL_reward,G,1058
1030951990,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,188,23,14,17,0,,2020-06-19 13:14:43.356000+00:00,TRAINING_4_images_G_training_7uL_reward,G,1059
1035124076,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,208,36,11,30,0,,2020-07-09 12:43:18.703000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1060
1039071991,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,227,46,21,40,0,,2020-07-28 13:01:26.588000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1061
1042581390,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,242,55,30,49,0,,2020-08-12 13:22:29.982000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1062
1036458335,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,214,40,15,34,0,,2020-07-15 12:39:07.328000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1063
1034501580,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,205,33,8,27,0,,2020-07-06 12:22:40.172000+00:00,TRAINING_5_images_G_handoff_ready_5uL_reward,G,1064
1029238499,BEH.F-Box3,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,509808,M,179,17,8,11,0,,2020-06-10 13:03:53.467000+00:00,TRAINING_4_images_G_training_7uL_reward,G,1065
