ecephys_session_id,behavior_session_id,date_of_acquisition,equipment_name,session_type,mouse_id,genotype,sex,project_code,age_in_days,unit_count,probe_count,channel_count,structure_acronyms,image_set,prior_exposures_to_image_set,session_number,experience_level,prior_exposures_to_omissions,file_id,abnormal_histology,abnormal_activity
1044385384,1044408432,2020-08-19 14:47:08.574000+00:00,NP.1,EPHYS_1_images_G_5uL_reward,524761,wt/wt,F,NeuropixelVisualBehavior,151,2179,5,1920,"['CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LGv', 'LP', 'MB', 'MGd', 'MGm', 'MRN', 'POL', 'POST', 'PoT', 'root', 'SCig', 'SGN', 'TH', 'VISal', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",G,30,1,Familiar,0,870,,
1044594870,1044624428,2020-08-20 15:03:56.422000+00:00,NP.1,EPHYS_1_images_H_5uL_reward,524761,wt/wt,F,NeuropixelVisualBehavior,152,2103,5,1920,"['CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'PIL', 'POL', 'POST', 'PP', 'root', 'SCig', 'SNr', 'TH', 'VISal', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,872,,
1047969464,1048005547,2020-09-02 14:53:14.347000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,509808,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,263,2438,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGv', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NOT', 'PIL', 'POST', 'PPT', 'root', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",G,62,1,Familiar,0,877,,
1047977240,1048009327,2020-09-02 15:15:03.733000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,524925,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,165,1856,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NOT', 'PIL', 'POL', 'PoT', 'PP', 'ProS', 'root', 'SGN', 'SPFp', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,51,1,Familiar,0,878,,
1048189115,1048221709,2020-09-03 14:16:57.913000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,509808,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,264,1925,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGv', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'POST', 'ProS', 'root', 'SCig', 'SCiw', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",H,0,2,Novel,1,879,,
1048196054,1048222325,2020-09-03 14:25:07.290000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,524925,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,166,2288,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'DT', 'Eth', 'HPF', 'LGd-co', 'LGd-sh', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NOT', 'PIL', 'POL', 'POST', 'PoT', 'PPT', 'ProS', 'root', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,880,,
1049273528,1049299003,2020-09-09 15:04:23.986000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,521466,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,193,2165,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LT', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NB', 'NOT', 'PIL', 'POST', 'PP', 'PRE', 'root', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,56,1,Familiar,0,881,,
1049514117,1049542142,2020-09-10 15:11:15.371000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,521466,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,F,NeuropixelVisualBehavior,194,1925,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'LT', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NB', 'PIL', 'POL', 'POST', 'PoT', 'PP', 'PRE', 'ProS', 'root', 'SGN', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,882,,
1051155866,1052162536,2020-09-17 15:05:39.665000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,524760,wt/wt,F,NeuropixelVisualBehavior,180,1922,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGv', 'LP', 'MB', 'MRN', 'POL', 'POST', 'PoT', 'root', 'SCig', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",H,0,2,Novel,1,883,,
1052342277,1052374521,2020-09-23 15:34:18.179000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,530862,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,148,1696,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGv', 'LP', 'MB', 'MRN', 'NOT', 'POL', 'POST', 'PoT', 'root', 'SCig', 'SCiw', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",G,32,1,Familiar,0,885,,
1052533639,1052572359,2020-09-24 15:12:13.229000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,530862,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,149,1677,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'IGL', 'LGv', 'LP', 'MB', 'MRN', 'NOT', 'POL', 'POST', 'ProS', 'root', 'SCig', 'SGN', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",H,0,2,Novel,1,887,,
1053709239,1053759575,2020-09-30 14:18:11.301000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,532246,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,144,2840,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LP', 'LT', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NOT', 'PIL', 'POL', 'PoT', 'ProS', 'root', 'SGN', 'SNr', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,26,1,Familiar,0,888,,
1053718935,1053759573,2020-09-30 14:27:36.212000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,527749,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,179,2508,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'DT', 'HPF', 'LGd-co', 'LGd-sh', 'LGv', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'PIL', 'POL', 'POST', 'PoT', 'ProS', 'RN', 'root', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",G,46,1,Familiar,0,889,,
1053925378,1053960984,2020-10-01 16:07:18.990000+00:00,NP.0,EPHYS_1_images_H_3uL_reward,532246,Vip-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,145,1823,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'LGd-co', 'LGd-ip', 'LGd-sh', 'LP', 'LT', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'PIL', 'POL', 'POST', 'PoT', 'PP', 'PRE', 'ProS', 'root', 'SNr', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",H,0,2,Novel,1,890,,
1053941483,1053960987,2020-10-01 17:03:58.362000+00:00,NP.1,EPHYS_1_images_H_3uL_reward,527749,Sst-IRES-Cre/wt;Ai32(RCL-ChR2(H134R)_EYFP)/wt,M,NeuropixelVisualBehavior,180,1543,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'DT', 'LGv', 'LP', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'PIL', 'POL', 'PoT', 'root', 'SGN', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",H,0,2,Novel,1,891,,
1055221968,1055253879,2020-10-07 14:01:41.373000+00:00,NP.1,EPHYS_1_images_G_3uL_reward,533537,wt/wt,M,NeuropixelVisualBehavior,143,2585,6,2304,"['APN', 'CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LP', 'MB', 'MGm', 'MGv', 'MRN', 'POL', 'POST', 'PoT', 'root', 'SCig', 'SGN', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl', 'ZI']",G,34,1,Familiar,0,892,,
1055240613,1055260435,2020-10-07 14:53:34.486000+00:00,NP.0,EPHYS_1_images_G_3uL_reward,533539,wt/wt,F,NeuropixelVisualBehavior,143,2290,6,2304,"['CA1', 'CA3', 'DG-mo', 'DG-po', 'DG-sg', 'HPF', 'LGd-co', 'LGd-sh', 'MB', 'MGd', 'MGm', 'MGv', 'MRN', 'NB', 'NOT', 'PIL', 'POST', 'PoT', 'PRE', 'ProS', 'root', 'SCig', 'SCiw', 'SPFp', 'SUB', 'TH', 'VISal', 'VISam', 'VISl', 'VISp', 'VISpm', 'VISrl']",G,15,1,Familiar,0,893,,
